athens, greece, baghdad, iraq, ['iraq']
athens, greece, bangkok, thailand, ['thailand']
athens, greece, beijing, china, ['china']
athens, greece, berlin, germany, ['the']
athens, greece, bern, switzerland, ['switzerland']
athens, greece, cairo, egypt, ['egypt']
athens, greece, canberra, australia, ['australia']
athens, greece, hanoi, vietnam, ['vietnam']
athens, greece, havana, cuba, ['cuba']
athens, greece, helsinki, finland, ['finland']
athens, greece, islamabad, pakistan, ['pakistan']
athens, greece, kabul, afghanistan, ['afghanistan']
athens, greece, london, england, ['the']
athens, greece, madrid, spain, ['real']
athens, greece, moscow, russia, ['in']
athens, greece, oslo, norway, ['accords']
athens, greece, ottawa, canada, ['canada']
athens, greece, paris, france, ['in']
athens, greece, rome, italy, ['in']
athens, greece, stockholm, sweden, ['sweden']
athens, greece, tehran, iran, ['iran']
athens, greece, tokyo, japan, ['japan']
baghdad, iraq, bangkok, thailand, ['thailand']
baghdad, iraq, beijing, china, ['the']
baghdad, iraq, berlin, germany, ['the']
baghdad, iraq, bern, switzerland, ['switzerland']
baghdad, iraq, cairo, egypt, ['egypt']
baghdad, iraq, canberra, australia, ['australia']
baghdad, iraq, hanoi, vietnam, ['vietnam']
baghdad, iraq, havana, cuba, ['cuba']
baghdad, iraq, helsinki, finland, ['university']
baghdad, iraq, islamabad, pakistan, ['pakistan']
baghdad, iraq, kabul, afghanistan, ['the']
baghdad, iraq, london, england, ['the']
baghdad, iraq, madrid, spain, ['the']
baghdad, iraq, moscow, russia, ['in']
baghdad, iraq, oslo, norway, ['accords']
baghdad, iraq, ottawa, canada, ['canada']
baghdad, iraq, paris, france, ['in']
baghdad, iraq, rome, italy, ['the']
baghdad, iraq, stockholm, sweden, ['sweden']
baghdad, iraq, tehran, iran, ['university']
baghdad, iraq, tokyo, japan, ['university']
baghdad, iraq, athens, greece, ['of']
bangkok, thailand, beijing, china, ['the']
bangkok, thailand, berlin, germany, ['the']
bangkok, thailand, bern, switzerland, ['of']
bangkok, thailand, cairo, egypt, ['in']
bangkok, thailand, canberra, australia, ['the']
bangkok, thailand, hanoi, vietnam, ['in']
bangkok, thailand, havana, cuba, ['in']
bangkok, thailand, helsinki, finland, ['the']
bangkok, thailand, islamabad, pakistan, ['pakistan']
bangkok, thailand, kabul, afghanistan, ['the']
bangkok, thailand, london, england, ['the']
bangkok, thailand, madrid, spain, ['the']
bangkok, thailand, moscow, russia, ['in']
bangkok, thailand, oslo, norway, ['the']
bangkok, thailand, ottawa, canada, ['the']
bangkok, thailand, paris, france, ['in']
bangkok, thailand, rome, italy, ['the']
bangkok, thailand, stockholm, sweden, ['in']
bangkok, thailand, tehran, iran, ['in']
bangkok, thailand, tokyo, japan, ['the']
bangkok, thailand, athens, greece, ['of']
bangkok, thailand, baghdad, iraq, ['the']
beijing, china, berlin, germany, ['the']
beijing, china, bern, switzerland, ['switzerland']
beijing, china, cairo, egypt, ['egypt']
beijing, china, canberra, australia, ['australia']
beijing, china, hanoi, vietnam, ['vietnam']
beijing, china, havana, cuba, ['cuba']
beijing, china, helsinki, finland, ['finland']
beijing, china, islamabad, pakistan, ['pakistan']
beijing, china, kabul, afghanistan, ['afghanistan']
beijing, china, london, england, ['the']
beijing, china, madrid, spain, ['real']
beijing, china, moscow, russia, ['in']
beijing, china, oslo, norway, ['accords']
beijing, china, ottawa, canada, ['canada']
beijing, china, paris, france, ['in']
beijing, china, rome, italy, ['the']
beijing, china, stockholm, sweden, ['sweden']
beijing, china, tehran, iran, ['iran']
beijing, china, tokyo, japan, ['japan']
beijing, china, athens, greece, ['of']
beijing, china, baghdad, iraq, ['iraq']
beijing, china, bangkok, thailand, ['thailand']
berlin, germany, bern, switzerland, ['switzerland']
berlin, germany, cairo, egypt, ['egypt']
berlin, germany, canberra, australia, ['australia']
berlin, germany, hanoi, vietnam, ['rocks']
berlin, germany, havana, cuba, ['cuba']
berlin, germany, helsinki, finland, ['finland']
berlin, germany, islamabad, pakistan, ['pakistan']
berlin, germany, kabul, afghanistan, ['afghanistan']
berlin, germany, london, england, ['the']
berlin, germany, madrid, spain, ['real']
berlin, germany, moscow, russia, ['russia']
berlin, germany, oslo, norway, ['accords']
berlin, germany, ottawa, canada, ['canada']
berlin, germany, paris, france, ['in']
berlin, germany, rome, italy, ['of']
berlin, germany, stockholm, sweden, ['sweden']
berlin, germany, tehran, iran, ['iran']
berlin, germany, tokyo, japan, ['japan']
berlin, germany, athens, greece, ['greece']
berlin, germany, baghdad, iraq, ['iraq']
berlin, germany, bangkok, thailand, ['thailand']
berlin, germany, beijing, china, ['china']
bern, switzerland, cairo, egypt, ['in']
bern, switzerland, canberra, australia, ['one']
bern, switzerland, hanoi, vietnam, ['vietnam']
bern, switzerland, havana, cuba, ['in']
bern, switzerland, helsinki, finland, ['the']
bern, switzerland, islamabad, pakistan, ['pakistan']
bern, switzerland, kabul, afghanistan, ['the']
bern, switzerland, london, england, ['the']
bern, switzerland, madrid, spain, ['the']
bern, switzerland, moscow, russia, ['in']
bern, switzerland, oslo, norway, ['the']
bern, switzerland, ottawa, canada, ['the']
bern, switzerland, paris, france, ['in']
bern, switzerland, rome, italy, ['the']
bern, switzerland, stockholm, sweden, ['in']
bern, switzerland, tehran, iran, ['university']
