athens, greece, baghdad, iraq, ['iraq', 'al', 'abbasid', 'battery', 'province', 'international', 'caliph', 'caliphs', 'iraqi', 'airport']
athens, greece, bangkok, thailand, ['thailand', 'post', 'hong', 'singapore', 'taipei', 'international', 'week', 'wales', 'turkish', 'incident']
athens, greece, beijing, china, ['china', 's', 'university', 'chinese', 'urban', 'capital', 'technology', 'dialect', 'are', 'travel']
athens, greece, berlin, germany, ['the', 'in', 'one', 'nine', 'and', 's', 'of', 'west', 'wall', 'eight']
athens, greece, bern, switzerland, ['switzerland', 'berne', 'wisconsin', 'canton', 'township', 'oppidum', 'swiss', 'kansas', 'york', 'indiana']
athens, greece, cairo, egypt, ['egypt', 'al', 'alexandria', 'africa', 'nile', 'conference', 'egyptian', 'arab', 'coptic', 'american']
athens, greece, canberra, australia, ['australia', 'australian', 'capital', 'house', 'act', 'studies', 'memorial', 'outside', 'de', 'sydney']
athens, greece, hanoi, vietnam, ['vietnam', 'rocks', 'penh', 'vientiane', 'bombing', 'drummer', 'moscow', 'phnom', 'singer', 'rejected']
athens, greece, havana, cuba, ['cuba', 'embassy', 'cuban', 'economy', 'bay', 'around', 'castro', 'seeking', 'via', 'province']
athens, greece, helsinki, finland, ['finland', 'university', 'image', 'vantaa', 'metropolitan', 'jpg', 'finnish', 'technology', 'fi', 's']
athens, greece, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'capital', 'asking', 'introduction', 'destined', 'intercontinental', 'jeddah']
athens, greece, kabul, afghanistan, ['afghanistan', 'river', 'kandahar', 'afghan', 'valley', 'captured', 'around', 'daily', 's', 'shah']
athens, greece, london, england, ['the', 'in', 'of', 'one', 'and', 'nine', 'to', 'zero', 'a', 'two']
athens, greece, madrid, spain, ['real', 'de', 'one', 'spain', 'universidad', 's', 'nine', 'new', 'la', 'attacks']
athens, greece, moscow, russia, ['in', 'one', 'nine', 's', 'russia', 'zero', 'russian', 'soviet', 'two', 'five']
athens, greece, oslo, norway, ['accords', 'norway', 'peace', 'no', 'irc', 'israel', 'christiania', 'palestinians', 'copenhagen', 'outside']
athens, greece, ottawa, canada, ['canada', 'ontario', 'treaty', 'valley', 'club', 'curling', 'montreal', 'parliament', 'day', 'canadian']
athens, greece, paris, france, ['in', 'one', 'the', 'and', 'to', 'of', 'nine', 'eight', 'france', 'de']
athens, greece, rome, italy, ['in', 'the', 'of', 'and', 'to', 'one', 'was', 's', 'a', 'he']
athens, greece, stockholm, sweden, ['sweden', 'technology', 'college', 'foundation', 'university', 'se', 'royal', 'gothenburg', 'governors', 'convention']
athens, greece, tehran, iran, ['iran', 'technology', 'university', 'iranian', 'college', 'conference', 'sciences', 'isfahan', 'air', 'embassy']
athens, greece, tokyo, japan, ['japan', 'university', 'nine', 'narita', 'one', 'college', 'international', 'japanese', 's', 'disneyland']
baghdad, iraq, bangkok, thailand, ['thailand', 'post', 'airlines', 'university', 'airways', 'hong', 'singapore', 'taipei', 'pacific', 'based']
baghdad, iraq, beijing, china, ['the', 'in', 'of', 'china', 'and', 'university', 's', 'to', 'is', 'zero']
baghdad, iraq, berlin, germany, ['the', 'in', 'of', 'one', 'and', 'nine', 'to', 's', 'west', 'eight']
baghdad, iraq, bern, switzerland, ['switzerland', 'berne', 'new', 'wisconsin', 'canton', 'or', 'township', 'swiss', 'oppidum', 'york']
baghdad, iraq, cairo, egypt, ['egypt', 'in', 'university', 'al', 'at', 'alexandria', 'africa', 'he', 'egyptian', 'modern']
