athens, greece, baghdad, iraq, ['iraq', 'al', 'abbasid', 'battery', 'province']
athens, greece, bangkok, thailand, ['thailand', 'post', 'hong', 'singapore', 'taipei']
athens, greece, beijing, china, ['china', 's', 'university', 'chinese', 'urban']
athens, greece, berlin, germany, ['the', 'in', 'one', 'nine', 'and']
athens, greece, bern, switzerland, ['switzerland', 'berne', 'wisconsin', 'canton', 'township']
athens, greece, cairo, egypt, ['egypt', 'al', 'alexandria', 'africa', 'nile']
athens, greece, canberra, australia, ['australia', 'australian', 'capital', 'house', 'act']
athens, greece, hanoi, vietnam, ['vietnam', 'rocks', 'penh', 'vientiane', 'bombing']
athens, greece, havana, cuba, ['cuba', 'embassy', 'cuban', 'economy', 'bay']
athens, greece, helsinki, finland, ['finland', 'university', 'image', 'vantaa', 'metropolitan']
athens, greece, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'capital']
athens, greece, kabul, afghanistan, ['afghanistan', 'river', 'kandahar', 'afghan', 'valley']
athens, greece, london, england, ['the', 'in', 'of', 'one', 'and']
athens, greece, madrid, spain, ['real', 'de', 'one', 'spain', 'universidad']
athens, greece, moscow, russia, ['in', 'one', 'nine', 's', 'russia']
athens, greece, oslo, norway, ['accords', 'norway', 'peace', 'no', 'irc']
athens, greece, ottawa, canada, ['canada', 'ontario', 'treaty', 'valley', 'club']
athens, greece, paris, france, ['in', 'one', 'the', 'and', 'to']
athens, greece, rome, italy, ['in', 'the', 'of', 'and', 'to']
athens, greece, stockholm, sweden, ['sweden', 'technology', 'college', 'foundation', 'university']
athens, greece, tehran, iran, ['iran', 'technology', 'university', 'iranian', 'college']
athens, greece, tokyo, japan, ['japan', 'university', 'nine', 'narita', 'one']
baghdad, iraq, bangkok, thailand, ['thailand', 'post', 'airlines', 'university', 'airways']
baghdad, iraq, beijing, china, ['the', 'in', 'of', 'china', 'and']
baghdad, iraq, berlin, germany, ['the', 'in', 'of', 'one', 'and']
