athens, greece, baghdad, iraq, ['iraq']
athens, greece, bangkok, thailand, ['thailand']
athens, greece, beijing, china, ['china']
athens, greece, berlin, germany, ['germany']
athens, greece, bern, switzerland, ['fairfield']
athens, greece, cairo, egypt, ['afghanistan']
athens, greece, canberra, australia, ['australia']
athens, greece, hanoi, vietnam, ['turkey']
athens, greece, havana, cuba, ['cuba']
athens, greece, helsinki, finland, ['romania']
athens, greece, islamabad, pakistan, ['pakistan']
athens, greece, kabul, afghanistan, ['afghanistan']
athens, greece, london, england, ['ireland']
athens, greece, madrid, spain, ['spain']
athens, greece, moscow, russia, ['russia']
athens, greece, oslo, norway, ['norway']
athens, greece, ottawa, canada, ['newfoundland']
athens, greece, paris, france, ['france']
athens, greece, rome, italy, ['france']
athens, greece, stockholm, sweden, ['sweden']
athens, greece, tehran, iran, ['iran']
athens, greece, tokyo, japan, ['japan']
baghdad, iraq, bangkok, thailand, ['thailand']
baghdad, iraq, beijing, china, ['eritrea']
baghdad, iraq, berlin, germany, ['germany']
baghdad, iraq, bern, switzerland, ['montevideo']
baghdad, iraq, cairo, egypt, ['egypt']
baghdad, iraq, canberra, australia, ['australia']
baghdad, iraq, hanoi, vietnam, ['turkmenistan']
baghdad, iraq, havana, cuba, ['cuba']
baghdad, iraq, helsinki, finland, ['finland']
baghdad, iraq, islamabad, pakistan, ['libya']
baghdad, iraq, kabul, afghanistan, ['israel']
baghdad, iraq, london, england, ['britain']
baghdad, iraq, madrid, spain, ['allies']
baghdad, iraq, moscow, russia, ['russia']
baghdad, iraq, oslo, norway, ['accords']
baghdad, iraq, ottawa, canada, ['joins']
baghdad, iraq, paris, france, ['peace']
baghdad, iraq, rome, italy, ['king']
baghdad, iraq, stockholm, sweden, ['sweden']
baghdad, iraq, tehran, iran, ['iran']
baghdad, iraq, tokyo, japan, ['japan']
baghdad, iraq, athens, greece, ['finland']
bangkok, thailand, beijing, china, ['greece']
bangkok, thailand, berlin, germany, ['east']
bangkok, thailand, bern, switzerland, ['counties']
bangkok, thailand, cairo, egypt, ['egypt']
bangkok, thailand, canberra, australia, ['australia']
bangkok, thailand, hanoi, vietnam, ['turkey']
bangkok, thailand, havana, cuba, ['cuba']
bangkok, thailand, helsinki, finland, ['armenia']
bangkok, thailand, islamabad, pakistan, ['pakistan']
bangkok, thailand, kabul, afghanistan, ['kandahar']
bangkok, thailand, london, england, ['great']
bangkok, thailand, madrid, spain, ['spain']
bangkok, thailand, moscow, russia, ['russia']
bangkok, thailand, oslo, norway, ['norway']
bangkok, thailand, ottawa, canada, ['neighbouring']
bangkok, thailand, paris, france, ['france']
bangkok, thailand, rome, italy, ['spain']
bangkok, thailand, stockholm, sweden, ['sweden']
bangkok, thailand, tehran, iran, ['iran']
bangkok, thailand, tokyo, japan, ['japan']
bangkok, thailand, athens, greece, ['greece']
bangkok, thailand, baghdad, iraq, ['pakistan']
beijing, china, berlin, germany, ['germany']
beijing, china, bern, switzerland, ['berne']
beijing, china, cairo, egypt, ['india']
beijing, china, canberra, australia, ['australia']
beijing, china, hanoi, vietnam, ['turkey']
beijing, china, havana, cuba, ['cuba']
beijing, china, helsinki, finland, ['russia']
beijing, china, islamabad, pakistan, ['pakistan']
beijing, china, kabul, afghanistan, ['afghanistan']
beijing, china, london, england, ['britain']
beijing, china, madrid, spain, ['spain']
beijing, china, moscow, russia, ['russia']
beijing, china, oslo, norway, ['norway']
beijing, china, ottawa, canada, ['canada']
beijing, china, paris, france, ['france']
beijing, china, rome, italy, ['spain']
beijing, china, stockholm, sweden, ['sweden']
beijing, china, tehran, iran, ['iran']
beijing, china, tokyo, japan, ['japan']
beijing, china, athens, greece, ['europe']
beijing, china, baghdad, iraq, ['india']
beijing, china, bangkok, thailand, ['thailand']
berlin, germany, bern, switzerland, ['switzerland']
berlin, germany, cairo, egypt, ['egypt']
berlin, germany, canberra, australia, ['australia']
berlin, germany, hanoi, vietnam, ['turkey']
berlin, germany, havana, cuba, ['cuba']
berlin, germany, helsinki, finland, ['denmark']
berlin, germany, islamabad, pakistan, ['pakistan']
berlin, germany, kabul, afghanistan, ['italy']
berlin, germany, london, england, ['britain']
berlin, germany, madrid, spain, ['spain']
berlin, germany, moscow, russia, ['russia']
berlin, germany, oslo, norway, ['norway']
berlin, germany, ottawa, canada, ['quebec']
berlin, germany, paris, france, ['france']
berlin, germany, rome, italy, ['spain']
berlin, germany, stockholm, sweden, ['sweden']
berlin, germany, tehran, iran, ['iran']
berlin, germany, tokyo, japan, ['japan']
berlin, germany, athens, greece, ['greece']
berlin, germany, baghdad, iraq, ['afghanistan']
berlin, germany, bangkok, thailand, ['thailand']
berlin, germany, beijing, china, ['china']
bern, switzerland, cairo, egypt, ['egypt']
bern, switzerland, canberra, australia, ['sweden']
bern, switzerland, hanoi, vietnam, ['italy']
bern, switzerland, havana, cuba, ['cuba']
bern, switzerland, helsinki, finland, ['finland']
bern, switzerland, islamabad, pakistan, ['pakistan']
bern, switzerland, kabul, afghanistan, ['italy']
bern, switzerland, london, england, ['france']
bern, switzerland, madrid, spain, ['spain']
bern, switzerland, moscow, russia, ['russia']
bern, switzerland, oslo, norway, ['norway']
bern, switzerland, ottawa, canada, ['canada']
