athens, greece, baghdad, iraq, ['iraq', 'afghanistan', 'pakistan', 'indonesia', 'syria']
athens, greece, bangkok, thailand, ['thailand', 'singapore', 'siam', 'philippines', 'laos']
athens, greece, beijing, china, ['china', 'eritrea', 'cambodia', 'albania', 'moldova']
athens, greece, berlin, germany, ['germany', 'hungary', 'russia', 'belgium', 'austria']
athens, greece, bern, switzerland, ['fairfield', 'jonesboro', 'uttar', 'switzerland', 'belgium']
athens, greece, cairo, egypt, ['afghanistan', 'egypt', 'syria', 'india', 'asia']
athens, greece, canberra, australia, ['australia', 'iceland', 'ireland', 'canada', 'netherlands']
athens, greece, hanoi, vietnam, ['turkey', 'antalya', 'thailand', 'uzbekistan', 'trondheim']
athens, greece, havana, cuba, ['cuba', 'brenda', 'guinea', 'equatorial', 'cuban']
athens, greece, helsinki, finland, ['romania', 'belgium', 'denmark', 'finland', 'serbia']
athens, greece, islamabad, pakistan, ['pakistan', 'indonesia', 'lahore', 'libya', 'portugal']
athens, greece, kabul, afghanistan, ['afghanistan', 'bulgaria', 'italy', 'china', 'syria']
athens, greece, london, england, ['ireland', 'britain', 'references', 'railway', 'british']
athens, greece, madrid, spain, ['spain', 'france', 'del', 'portugal', 'argentina']
athens, greece, moscow, russia, ['russia', 'romania', 'bulgaria', 'france', 'hungary']
athens, greece, oslo, norway, ['norway', 'accords', 'romania', 'denmark', 'mieszko']
athens, greece, ottawa, canada, ['newfoundland', 'canada', 'quebec', 'ontario', 'halifax']
athens, greece, paris, france, ['france', 'italy', 'germany', 'belgium', 'spain']
athens, greece, rome, italy, ['france', 'italy', 'spain', 'emperor', 'portugal']
athens, greece, stockholm, sweden, ['sweden', 'norway', 'denmark', 'belgium', 'switzerland']
athens, greece, tehran, iran, ['iran', 'thailand', 'kinsey', 'vitro', 'iraq']
athens, greece, tokyo, japan, ['japan', 'singapore', 'partners', 'hong', 'china']
baghdad, iraq, bangkok, thailand, ['thailand', 'vietnam', 'taiwan', 'hostilities', 'laos']
baghdad, iraq, beijing, china, ['eritrea', 'libya', 'albania', 'finland', 'relations']
baghdad, iraq, berlin, germany, ['germany', 'war', 'soviet', 'union', 'russia']
baghdad, iraq, bern, switzerland, ['montevideo', 'tartu', 'freedoms', 'anzus', 'arkansas']
baghdad, iraq, cairo, egypt, ['egypt', 'libya', 'syria', 'afghanistan', 'oecd']
baghdad, iraq, canberra, australia, ['australia', 'australian', 'uk', 'queensland', 'wales']
baghdad, iraq, hanoi, vietnam, ['turkmenistan', 'turkey', 'uzbekistan', 'frontman', 'zmir']
baghdad, iraq, havana, cuba, ['cuba', 'cuban', 'libya', 'kuwait', 'concluded']
baghdad, iraq, helsinki, finland, ['finland', 'estonia', 'borders', 'armenia', 'georgia']
baghdad, iraq, islamabad, pakistan, ['libya', 'tunisia', 'sanctions', 'cultivating', 'lahore']
baghdad, iraq, kabul, afghanistan, ['israel', 'afghanistan', 'lebanon', 'withdrew', 'syria']
baghdad, iraq, london, england, ['britain', 'further', 'british', 'brought', 'uk']
baghdad, iraq, madrid, spain, ['allies', 'independence', 'spain', 'against', 'trust']
baghdad, iraq, moscow, russia, ['russia', 'declaration', 'war', 'declaring', 'soviet']
baghdad, iraq, oslo, norway, ['accords', 'peace', 'neutrality', 'signed', 'declaring']
baghdad, iraq, ottawa, canada, ['joins', 'agreement', 'accord', 'biodiversity', 'canada']
baghdad, iraq, paris, france, ['peace', 'france', 'war', 'signed', 'talks']
baghdad, iraq, rome, italy, ['king', 'against', 'brought', 'had', 'gave']
baghdad, iraq, stockholm, sweden, ['sweden', 'estonia', 'finland', 'neutrality', 'norway']
baghdad, iraq, tehran, iran, ['iran', 'kuwait', 'kinsey', 'declaration', 'testing']
baghdad, iraq, tokyo, japan, ['japan', 'vietnam', 'united', 'war', 'singapore']
baghdad, iraq, athens, greece, ['finland', 'egypt', 'greece', 'turkey', 'sought']
bangkok, thailand, beijing, china, ['greece', 'albania', 'china', 'mongolia', 'morocco']
bangkok, thailand, berlin, germany, ['east', 'germany', 'prussia', 'hungary', 'russia']
bangkok, thailand, bern, switzerland, ['counties', 'arkansas', 'istanbul', 'uganda', 'sussex']
bangkok, thailand, cairo, egypt, ['egypt', 'tunisia', 'pakistan', 'algeria', 'alexandria']
bangkok, thailand, canberra, australia, ['australia', 'africa', 'sweden', 'victoria', 'south']
bangkok, thailand, hanoi, vietnam, ['turkey', 'turkmenistan', 'mesopotamia', 'tunisia', 'tajikistan']
bangkok, thailand, havana, cuba, ['cuba', 'algeria', 'libya', 'guinea', 'morocco']
bangkok, thailand, helsinki, finland, ['armenia', 'kenya', 'turkey', 'serbia', 'belarus']
bangkok, thailand, islamabad, pakistan, ['pakistan', 'lahore', 'tunisia', 'algeria', 'karachi']
bangkok, thailand, kabul, afghanistan, ['kandahar', 'egypt', 'afghanistan', 'greece', 'morocco']
bangkok, thailand, london, england, ['great', 'east', 'town', 'england', 'city']
bangkok, thailand, madrid, spain, ['spain', 'imaginary', 'portugal', 'suburbs', 'africa']
bangkok, thailand, moscow, russia, ['russia', 'ukraine', 'bulgaria', 'hungary', 'poland']
bangkok, thailand, oslo, norway, ['norway', 'portugal', 'turkey', 'poland', 'mieszko']
bangkok, thailand, ottawa, canada, ['neighbouring', 'ontario', 'labrador', 'huron', 'cornwall']
bangkok, thailand, paris, france, ['france', 'rome', 'spain', 'italy', 'russia']
bangkok, thailand, rome, italy, ['spain', 'persia', 'king', 'emperor', 'egypt']
