athens, greece, baghdad, iraq, ['finland']
athens, greece, bangkok, thailand, ['thailand']
athens, greece, beijing, china, ['albania']
athens, greece, berlin, germany, ['germany']
athens, greece, bern, switzerland, ['surah']
athens, greece, cairo, egypt, ['albania']
athens, greece, canberra, australia, ['belgium']
athens, greece, hanoi, vietnam, ['bohemia']
athens, greece, havana, cuba, ['cuba']
athens, greece, helsinki, finland, ['kyrgyzstan']
athens, greece, islamabad, pakistan, ['petsamo']
athens, greece, kabul, afghanistan, ['afghanistan']
athens, greece, london, england, ['hodder']
athens, greece, madrid, spain, ['santiago']
athens, greece, moscow, russia, ['belarus']
athens, greece, oslo, norway, ['norway']
athens, greece, ottawa, canada, ['ontario']
athens, greece, paris, france, ['france']
athens, greece, rome, italy, ['italy']
athens, greece, stockholm, sweden, ['sweden']
athens, greece, tehran, iran, ['iran']
athens, greece, tokyo, japan, ['japan']
baghdad, iraq, bangkok, thailand, ['jamahiriya']
baghdad, iraq, beijing, china, ['greenland']
baghdad, iraq, berlin, germany, ['bobwhite']
baghdad, iraq, bern, switzerland, ['tijuana']
baghdad, iraq, cairo, egypt, ['lebanon']
baghdad, iraq, canberra, australia, ['montezuma']
baghdad, iraq, hanoi, vietnam, ['conjugal']
baghdad, iraq, havana, cuba, ['lebanon']
baghdad, iraq, helsinki, finland, ['weizmann']
baghdad, iraq, islamabad, pakistan, ['fossilization']
baghdad, iraq, kabul, afghanistan, ['afghanistan']
baghdad, iraq, london, england, ['faber']
baghdad, iraq, madrid, spain, ['jordan']
baghdad, iraq, moscow, russia, ['jordan']
baghdad, iraq, oslo, norway, ['iba']
baghdad, iraq, ottawa, canada, ['duesberg']
baghdad, iraq, paris, france, ['anterselva']
baghdad, iraq, rome, italy, ['hannibal']
baghdad, iraq, stockholm, sweden, ['sofia']
baghdad, iraq, tehran, iran, ['iran']
baghdad, iraq, tokyo, japan, ['japan']
baghdad, iraq, athens, greece, ['egypt']
bangkok, thailand, beijing, china, ['cornwall']
bangkok, thailand, berlin, germany, ['pakistan']
bangkok, thailand, bern, switzerland, ['flanders']
bangkok, thailand, cairo, egypt, ['belgium']
bangkok, thailand, canberra, australia, ['belgium']
bangkok, thailand, hanoi, vietnam, ['bohemia']
bangkok, thailand, havana, cuba, ['hungary']
bangkok, thailand, helsinki, finland, ['kyrgyzstan']
bangkok, thailand, islamabad, pakistan, ['pakistan']
bangkok, thailand, kabul, afghanistan, ['seville']
bangkok, thailand, london, england, ['ireland']
bangkok, thailand, madrid, spain, ['seville']
bangkok, thailand, moscow, russia, ['belarus']
bangkok, thailand, oslo, norway, ['norway']
bangkok, thailand, ottawa, canada, ['ontario']
bangkok, thailand, paris, france, ['france']
bangkok, thailand, rome, italy, ['seville']
bangkok, thailand, stockholm, sweden, ['sweden']
bangkok, thailand, tehran, iran, ['seville']
bangkok, thailand, tokyo, japan, ['indonesia']
bangkok, thailand, athens, greece, ['greece']
bangkok, thailand, baghdad, iraq, ['seville']
beijing, china, berlin, germany, ['germany']
beijing, china, bern, switzerland, ['approve']
beijing, china, cairo, egypt, ['germany']
beijing, china, canberra, australia, ['australia']
beijing, china, hanoi, vietnam, ['czechoslovakia']
beijing, china, havana, cuba, ['cuba']
beijing, china, helsinki, finland, ['vietnam']
beijing, china, islamabad, pakistan, ['essen']
beijing, china, kabul, afghanistan, ['ussr']
beijing, china, london, england, ['washington']
beijing, china, madrid, spain, ['spain']
beijing, china, moscow, russia, ['russia']
beijing, china, oslo, norway, ['quit']
beijing, china, ottawa, canada, ['congress']
beijing, china, paris, france, ['france']
beijing, china, rome, italy, ['emperor']
beijing, china, stockholm, sweden, ['sweden']
beijing, china, tehran, iran, ['iran']
beijing, china, tokyo, japan, ['japan']
beijing, china, athens, greece, ['japan']
