athens, greece, baghdad, iraq, ['ss_8698126', 'russia', 'ss_8914193', 'ss_8782319', 'egypt']
athens, greece, bangkok, thailand, ['ss_9036880', 'ss_8698126', 'tasmania', 'ss_8782319', 'kauai']
athens, greece, beijing, china, ['russia', 'egypt', 'mainland', 'ukraine', 'afghanistan']
athens, greece, berlin, germany, ['china', 'africa', 'ss_9189411', 'vietnam', 'mainland']
athens, greece, bern, switzerland, ['ss_8813978', 'ss_9031653', 'switzerland', 'ss_8698126', 'sweden']
athens, greece, cairo, egypt, ['switzerland', 'ukraine', 'egypt', 'central_america', 'latin_america']
athens, greece, canberra, australia, ['ss_8832269', 'cardiff_bay', 'eilat', 'koala', 'devon']
athens, greece, hanoi, vietnam, ['ss_9164095', 'switzerland', 'ss_8698126', 'alaska', 'ss_8782319']
athens, greece, havana, cuba, ['ss_8750612', 'ss_8813978', 'ss_8750334', 'romania', 'sumer']
athens, greece, helsinki, finland, ['ukraine', 'ss_9055015', 'switzerland', 'alaska', 'ss_8698126']
athens, greece, islamabad, pakistan, ['rajasthan', 'switzerland', 'wilkes-barre', 'ss_8977035', 'slovakia']
athens, greece, kabul, afghanistan, ['ukraine', 'ss_8698126', 'switzerland', 'russia', 'ss_8896831']
athens, greece, london, england, ['ss_8173515', 'ss_8801678', 'europe', 'russia', 'italy']
athens, greece, madrid, spain, ['ss_9024467', 'real', 'ss_9031653', 'poland', 'ukraine']
athens, greece, moscow, russia, ['switzerland', 'ss_9031653', 'russia', 'egypt', 'ss_8740875']
athens, greece, oslo, norway, ['ukraine', 'ss_8765069', 'ss_8764107', 'ss_8782319', 'ss_8698126']
athens, greece, ottawa, canada, ['ss_8827486', 'ss_9380588', 'connecticut', 'arkansas', 'european_union']
athens, greece, paris, france, ['italy', 'ss_8801678', 'france', 'poland', 'ss_9145751']
athens, greece, rome, italy, ['egypt', 'ss_8698126', 'ss_8801678', 'ss_8782319', 'poland']
athens, greece, stockholm, sweden, ['switzerland', 'slovenia', 'ss_9031653', 'central_america', 'slovakia']
athens, greece, tehran, iran, ['ss_9018162', 'gothenburg', 'belmopan', 'ss_8911421', 'ss_8782319']
athens, greece, tokyo, japan, ['turkey', 'mainland', 'russia', 'japan', 'ss_8173515']
baghdad, iraq, bangkok, thailand, ['ss_9036880', 'thailand', 'guyana', 'trinidad_and_tobago', 'ss_9036452']
baghdad, iraq, beijing, china, ['afghanistan', 'syria', 'thailand', 'iran', 'turkey']
baghdad, iraq, berlin, germany, ['germany', 'vietnam', 'syria', 'afghanistan', 'ss_8766988']
baghdad, iraq, bern, switzerland, ['afghanistan', 'sweden', 'thailand', 'romania', 'turkey']
baghdad, iraq, cairo, egypt, ['syria', 'ss_8913434', 'romania', 'iran', 'ss_9033333']
baghdad, iraq, canberra, australia, ['lebanon', 'ss_8997310', 'ss_13685096', 'ss_8959254', 'ss_9019726']
baghdad, iraq, hanoi, vietnam, ['tanzania', 'syria', 'afghanistan', 'muay', 'thailand']
baghdad, iraq, havana, cuba, ['romania', 'tunisia', 'iran', 'turkey', 'singapore']
baghdad, iraq, helsinki, finland, ['tanzania', 'syria', 'iran', 'trinidad_and_tobago', 'ss_8913434']
baghdad, iraq, islamabad, pakistan, ['kazakhstan', 'iran', 'romania', 'ss_8913434', 'spain']
baghdad, iraq, kabul, afghanistan, ['syria', 'afghanistan', 'ss_8896831', 'belgium', 'ss_9033333']
baghdad, iraq, london, england, ['france', 'thailand', 'syria', 'ss_9003284', 'afghanistan']
baghdad, iraq, madrid, spain, ['ss_9024467', 'real', 'ss_626800', 'numbers', 'the_real']
baghdad, iraq, moscow, russia, ['syria', 'ss_9033333', 'singapore', 'ss_9003284', 'afghanistan']
baghdad, iraq, oslo, norway, ['ukraine', 'ss_8913434', 'ss_9023321', 'ss_9003284', 'afghanistan']
baghdad, iraq, ottawa, canada, ['huai', 'ss_9377315', 'ss_9380588', 'ss_9102016', 'ss_9646608']
baghdad, iraq, paris, france, ['france', 'afghanistan', 'syria', 'italy', 'ss_8801678']
baghdad, iraq, rome, italy, ['syria', 'ss_8801678', 'ss_8913434', 'france', 'ss_9023321']
baghdad, iraq, stockholm, sweden, ['ss_8765890', 'syria', 'sweden', 'denmark', 'singapore']
baghdad, iraq, tehran, iran, ['ss_9018162', 'ss_9017526', 'afghanistan', 'alberta', 'cyprus']
baghdad, iraq, tokyo, japan, ['ss_8913434', 'turkey', 'thailand', 'afghanistan', 'ss_9003284']
baghdad, iraq, athens, greece, ['syria', 'afghanistan', 'iran', 'thailand', 'ss_9023321']
bangkok, thailand, beijing, china, ['japan', 'afghanistan', 'turkey', 'ss_8920381', 'brazil']
bangkok, thailand, berlin, germany, ['germany', 'ss_3670208', 'ss_2831335', 'pakistan', 'india']
bangkok, thailand, bern, switzerland, ['ss_8813978', 'ss_9032321', 'romania', 'ceuta', 'brazil']
bangkok, thailand, cairo, egypt, ['romania', 'ss_8898633', 'ss_8813978', 'indonesia', 'syria']
bangkok, thailand, canberra, australia, ['ss_8832269', 'ss_9031653', 'cardiff_bay', 'switzerland', 'japan']
bangkok, thailand, hanoi, vietnam, ['belarus', 'belgium', 'ss_9011151', 'switzerland', 'ss_8849753']
bangkok, thailand, havana, cuba, ['ss_8750612', 'romania', 'ss_8813978', 'ss_8750334', 'jamaica']
bangkok, thailand, helsinki, finland, ['indonesia', 'bulgaria', 'brazil', 'turkey', 'iran']
bangkok, thailand, islamabad, pakistan, ['ss_8977035', 'romania', 'ceuta', 'seville', 'switzerland']
bangkok, thailand, kabul, afghanistan, ['belgium', 'germany', 'the_philippines', 'afghanistan', 'syria']
bangkok, thailand, london, england, ['japan', 'germany', 'and_in', 'india', 'lakhpat']
bangkok, thailand, madrid, spain, ['ss_9024467', 'poland', 'ss_9011151', 'ss_9031653', 'brazil']
bangkok, thailand, moscow, russia, ['brazil', 'russia', 'switzerland', 'south_africa', 'indonesia']
bangkok, thailand, oslo, norway, ['belgium', 'ukraine', 'philippines', 'brazil', 'japan']
bangkok, thailand, ottawa, canada, ['philippines', 'ss_9380588', 'tennessee', 'kentucky', 'united_kingdom']
bangkok, thailand, paris, france, ['france', 'germany', 'japan', 'and_in', 'italy']
bangkok, thailand, rome, italy, ['germany', 'egypt', 'italy', 'russia', 'poland']
bangkok, thailand, stockholm, sweden, ['switzerland', 'ss_9031653', 'brazil', 'malaysia', 'vienna']
bangkok, thailand, tehran, iran, ['brazil', 'romania', 'afghanistan', 'ukraine', 'central_america']
bangkok, thailand, tokyo, japan, ['japan', 'turkey', 'ss_8920381', 'brazil', 'canada']
bangkok, thailand, athens, greece, ['germany', 'belgium', 'syria', 'brazil', 'egypt']
bangkok, thailand, baghdad, iraq, ['ss_8914193', 'cuba', 'japan', 'the_philippines', 'cambodia']
beijing, china, berlin, germany, ['ss_27167', 'africa', 'ss_8561835', 'india', 'germany']
beijing, china, bern, switzerland, ['korea', 'island', 'romania', 'ss_9023321', 'ss_8730550']
beijing, china, cairo, egypt, ['romania', 'spain', 'japan', 'korea', 'hungary']
beijing, china, canberra, australia, ['ss_8832269', 'korea', 'sudan', 'ss_8959254', 'lebanon']
beijing, china, hanoi, vietnam, ['ss_9164095', 'sudan', 'korea', 'albania', 'ss_8730550']
beijing, china, havana, cuba, ['ss_8750612', 'korea', 'romania', 'ss_8730550', 'lviv']
beijing, china, helsinki, finland, ['ss_9334396', 'chad', 'yemen', 'island', 'ss_8730550']
beijing, china, islamabad, pakistan, ['wilkes-barre', 'korea', 'tomsk', 'city', 'seville']
beijing, china, kabul, afghanistan, ['ss_8730550', 'germany', 'ss_8766988', 'ss_8900535', 'india']
beijing, china, london, england, ['ss_27167', 'ss_8730550', 'west', 'the_city', 'england']
beijing, china, madrid, spain, ['ss_9024467', 'ss_626800', 'real', 'ss_625393', 'poland']
beijing, china, moscow, russia, ['ss_8730550', 'ss_8900535', 'india', 'the_country', 'sudan']
beijing, china, oslo, norway, ['ss_9023321', 'spain', 'ss_8984788', 'ss_8765069', 'japan']
beijing, china, ottawa, canada, ['ss_8827486', 'ss_9380588', 'united', 'kingdom', 'ellice']
beijing, china, paris, france, ['france', 'germany', 'ss_10977368', 'japan', 'ss_8801678']
beijing, china, rome, italy, ['france', 'spain', 'ss_8801678', 'ss_9023321', 'poland']
beijing, china, stockholm, sweden, ['sudan', 'ss_27167', 'republic', 'city', 'macedonia']
beijing, china, tehran, iran, ['chennai', 'korea', 'ss_8738820', 'catania', 'gothenburg']
beijing, china, tokyo, japan, ['ss_8730550', 'japan', 'korea', 'taiwan', 'ss_9334396']
beijing, china, athens, greece, ['spain', 'ss_9023321', 'germany', 'ss_8766988', 'ss_8900535']
beijing, china, baghdad, iraq, ['japan', 'russia', 'israel', 'cuba', 'ss_8886636']
beijing, china, bangkok, thailand, ['ss_9036880', 'tasmania', 'ss_9034550', 'tokelau', 'ss_1382086']
berlin, germany, bern, switzerland, ['spain', 'sweden', 'ss_9032321', 'romania', 'ss_9023321']
berlin, germany, cairo, egypt, ['spain', 'romania', 'italy', 'switzerland', 'egypt']
berlin, germany, canberra, australia, ['chiapas', 'slovakia', 'ss_8759013', 'laos', 'ss_8832269']
berlin, germany, hanoi, vietnam, ['belgium', 'switzerland', 'ss_8849753', 'ss_9164095', 'albania']
berlin, germany, havana, cuba, ['ss_8750612', 'romania', 'ss_8750334', 'jamaica', 'ss_8813978']
berlin, germany, helsinki, finland, ['finland', 'bulgaria', 'croatia', 'spain', 'russia']
berlin, germany, islamabad, pakistan, ['spain', 'ss_8977035', 'romania', 'switzerland', 'saudi_arabia']
berlin, germany, kabul, afghanistan, ['belgium', 'ss_8845555', 'france', 'ss_8896831', 'spain']
berlin, germany, london, england, ['france', 'spain', 'italy', 'ss_8801678', 'ss_10977368']
berlin, germany, madrid, spain, ['ss_9024467', 'poland', 'spain', 'madrid_and', 'real']
berlin, germany, moscow, russia, ['spain', 'russia', 'france', 'switzerland', 'ss_9023321']
berlin, germany, oslo, norway, ['spain', 'belgium', 'ss_9023321', 'ss_8984788', 'ss_8765069']
berlin, germany, ottawa, canada, ['ss_9380588', 'ss_8827486', 'kingdom', 'states_and', 'ss_7940552']
berlin, germany, paris, france, ['france', 'italy', 'ss_10977368', 'ss_8801678', 'belgium']
berlin, germany, rome, italy, ['france', 'spain', 'ss_8801678', 'italy', 'ss_10977368']
berlin, germany, stockholm, sweden, ['denmark', 'switzerland', 'spain', 'ss_9031653', 'sweden']
berlin, germany, tehran, iran, ['guatemala', 'spain', 'portugal', 'ss_8737041', 'ss_8984788']
berlin, germany, tokyo, japan, ['france', 'spain', 'russia', 'belgium', 'turkey']
berlin, germany, athens, greece, ['spain', 'ss_9023321', 'belgium', 'france', 'ss_8801678']
berlin, germany, baghdad, iraq, ['spain', 'russia', 'italy', 'france', 'saudi_arabia']
berlin, germany, bangkok, thailand, ['ss_9036880', 'tajikistan', 'suva', 'thailand', 'turkmenistan']
berlin, germany, beijing, china, ['afghanistan', 'russia', 'belgium', 'italy', 'france']
bern, switzerland, cairo, egypt, ['syria', 'belgium', 'egypt', 'ukraine', 'ss_9031653']
bern, switzerland, canberra, australia, ['ss_8959254', 'ss_8832269', 'ss_9030752', 'suriname', 'liberia']
bern, switzerland, hanoi, vietnam, ['ss_9164095', 'albania', 'belgium', 'nigeria', 'ss_8761244']
bern, switzerland, havana, cuba, ['ss_8750612', 'nepal', 'romania', 'portugal', 'belgium']
bern, switzerland, helsinki, finland, ['ss_8780018', 'nigeria', 'ukraine', 'bulgaria', 'syria']
bern, switzerland, islamabad, pakistan, ['ss_8977035', 'saudi_arabia', 'ukraine', 'slovakia', 'denmark']
